id,passengers,departure_location,departure_date,arrival_location,arrival_date,rating
83,3,Departure location,2021-01-19 07:29:06.725649+00:00,Arrival location,2021-01-19 08:29:06.725649+00:00,
81,2,Departure location,2021-01-19 11:29:06.658779+00:00,Arrival location,2021-01-19 12:29:06.658779+00:00,
68,5,Departure location,2021-01-19 12:29:06.274045+00:00,Arrival location,2021-01-19 13:29:06.274045+00:00,
64,1,Departure location,2021-01-19 13:29:06.140687+00:00,Arrival location,2021-01-19 14:29:06.140687+00:00,
69,6,Departure location,2021-01-19 13:29:06.307401+00:00,Arrival location,2021-01-19 14:29:06.307401+00:00,
61,2,Departure location,2021-01-19 16:29:06.040694+00:00,Arrival location,2021-01-19 17:29:06.040694+00:00,
65,4,Departure location,2021-01-19 16:29:06.174256+00:00,Arrival location,2021-01-19 17:29:06.174256+00:00,
78,1,Departure location,2021-01-19 16:29:06.575441+00:00,Arrival location,2021-01-19 17:29:06.575441+00:00,
82,1,Departure location,2021-01-19 16:29:06.692405+00:00,Arrival location,2021-01-19 17:29:06.692405+00:00,
57,8,Departure location,2021-01-19 18:29:05.907215+00:00,Arrival location,2021-01-19 19:29:05.907215+00:00,
71,5,Departure location,2021-01-19 18:29:06.365955+00:00,Arrival location,2021-01-19 19:29:06.365955+00:00,
79,1,Departure location,2021-01-19 18:29:06.600426+00:00,Arrival location,2021-01-19 19:29:06.600426+00:00,
72,1,Departure location,2021-01-19 19:29:06.399163+00:00,Arrival location,2021-01-19 20:29:06.399163+00:00,
66,2,Departure location,2021-01-19 20:29:06.207524+00:00,Arrival location,2021-01-19 21:29:06.207524+00:00,
77,5,Departure location,2021-01-19 20:29:06.542128+00:00,Arrival location,2021-01-19 21:29:06.542128+00:00,
73,6,Departure location,2021-01-19 21:29:06.424228+00:00,Arrival location,2021-01-19 22:29:06.424228+00:00,
75,1,Departure location,2021-01-19 21:29:06.490926+00:00,Arrival location,2021-01-19 22:29:06.490926+00:00,
60,1,Departure location,2021-01-19 22:29:06.007321+00:00,Arrival location,2021-01-19 23:29:06.007321+00:00,
74,5,Departure location,2021-01-19 23:29:06.457705+00:00,Arrival location,2021-01-20 00:29:06.457705+00:00,
76,2,Departure location,2021-01-19 23:29:06.515876+00:00,Arrival location,2021-01-20 00:29:06.515876+00:00,
63,3,Departure location,2021-01-20 00:29:06.107403+00:00,Arrival location,2021-01-20 01:29:06.107403+00:00,
58,2,Departure location,2021-01-20 01:29:05.940619+00:00,Arrival location,2021-01-20 02:29:05.940619+00:00,
59,1,Departure location,2021-01-20 01:29:05.974016+00:00,Arrival location,2021-01-20 02:29:05.974016+00:00,
62,1,Departure location,2021-01-20 01:29:06.074077+00:00,Arrival location,2021-01-20 02:29:06.074077+00:00,
85,2,Departure location,2021-01-20 01:29:06.783985+00:00,Arrival location,2021-01-20 02:29:06.783985+00:00,
56,1,Departure location,2021-01-20 02:29:05.882513+00:00,Arrival location,2021-01-20 03:29:05.882513+00:00,
70,1,Departure location,2021-01-20 02:29:06.340769+00:00,Arrival location,2021-01-20 03:29:06.340769+00:00,
80,6,Departure location,2021-01-20 02:29:06.625556+00:00,Arrival location,2021-01-20 03:29:06.625556+00:00,
67,1,Departure location,2021-01-20 03:29:06.240813+00:00,Arrival location,2021-01-20 04:29:06.240813+00:00,
84,1,Departure location,2021-01-20 03:29:06.758950+00:00,Arrival location,2021-01-20 04:29:06.758950+00:00,
